Year	Day	Month	temp
1999	19	10	4.70375
1999	20	10	5.461041667
1999	21	10	6.434166667
1999	22	10	10.79666667
1999	23	10	13.29041667
1999	24	10	12.48541667
1999	25	10	12.28270833
1999	26	10	13.16354167
1999	27	10	10.63479167
1999	28	10	10.74541667
1999	29	10	11.54208333
1999	30	10	14.48958333
1999	31	10	11.74770833
1999	1	11	12.93354167
1999	2	11	11.68208333
1999	3	11	9.131041667
1999	4	11	8.747916667
1999	5	11	7.658541667
1999	6	11	8.391666667
1999	7	11	8.545833333
1999	8	11	8.442916667
1999	9	11	9.3275
1999	10	11	8.340625
1999	11	11	5.943125
1999	12	11	2.74875
1999	13	11	1.480833333
1999	14	11	8.389583333
1999	15	11	2.285416667
1999	16	11	0.114375
1999	17	11	3.678541667
1999	18	11	2.661041667
1999	19	11	2.460208333
1999	20	11	2.06625
1999	21	11	0.069583333
1999	22	11	3.394791667
1999	23	11	7.191875
1999	24	11	8.717234043
1999	25	11	8.562291667
1999	26	11	7.79
1999	27	11	7.635416667
1999	28	11	9.847708333
1999	29	11	8.398958333
1999	30	11	8.522708333
1999	1	12	9.782916667
1999	2	12	7.014166667
1999	3	12	7.904791667
1999	4	12	3.968958333
1999	5	12	4.103125
1999	6	12	6.248958333
1999	7	12	8.189166667
1999	8	12	8.107291667
1999	9	12	7.983541667
1999	10	12	6.330833333
1999	11	12	8.723125
1999	12	12	7.510416667
1999	13	12	5.325208333
1999	14	12	2.555833333
1999	15	12	0.070625
1999	16	12	1.456875
1999	17	12	4.93
1999	18	12	4.352083333
1999	19	12	1.60625
1999	20	12	1.353958333
1999	21	12	-0.935416667
1999	22	12	-0.213125
1999	23	12	6.217173913
1999	24	12	5.8
1999	25	12	8.831914894
1999	26	12	6.98212766
1999	27	12	3.908958333
1999	28	12	2.573958333
1999	29	12	3.191612903
2000	1	1	7.13875
2000	2	1	7.979583333
2000	3	1	8.291458333
2000	4	1	7.778125
2000	5	1	5.114375
2000	6	1	7.701041667
2000	7	1	6.744166667
2000	8	1	6.610625
2000	9	1	4.161458333
2000	10	1	1.302708333
2000	11	1	1.027916667
2000	12	1	-0.259375
2000	13	1	1.367708333
2000	14	1	2.4175
2000	15	1	2.667916667
2000	16	1	4.093958333
2000	17	1	5.639583333
2000	18	1	6.475833333
2000	19	1	4.232916667
2000	20	1	3.74
2000	21	1	5.096041667
